category	path	symbol_anchor	symbols_or_boundary	protocol_family	owner	disposition
token-contract	pkg/lipsdk/metering/quantity.go	Quantity	Quantity.Validate	canonical metering	Metering SDK	bridge-v1; parent 2.1-2.5
token-contract	pkg/lipsdk/metering/fact.go	Fact	Fact.Validate	canonical metering	Metering SDK	bridge-v1; parent 2.1-2.5
token-contract	pkg/lipsdk/metering/recorder.go	Recorder	Append/Record port	canonical metering	Metering SDK	bridge-v1; parent 2.5
token-contract	internal/core/metering/checkpoint/fact.go	FactFromIngress	FactFromIngress/FactFromFrontendIngress	frontend ingress	Core metering	bridge-v1; parent 3.1-3.4
token-contract	internal/core/metering/checkpoint/fact.go	FactFromEgress	FactFromEgress	backend/frontend egress	Core metering	bridge-v1; parent 3.1-3.4
token-contract	internal/core/metering/plane/plane.go	QuantitiesFromUsageEvent	QuantitiesFromUsageEvent/MoneyFromUsageEvent	canonical usage event	Core metering	bridge-v1; parent 2.1-3.4
token-reducer	internal/core/metering/aggregate/aggregate.go	Apply	Apply	canonical metering	Core metering	bridge-v1; parent 3.2-3.4
token-reducer	internal/core/metering/reconcile/reconcile.go	Stream	Stream	canonical metering	Core metering	bridge-v1; parent 12
token-runtime	internal/core/runtime/attempt_accounting.go	observeUsage	observeUsage	backend/client token accounting	Core runtime	bridge-v1; parent 3.2-3.4
token-runtime	internal/core/runtime/attempt_usage_evidence.go	recordUsageEvidence	rememberUsageEvidenceOnce/recordUsageEvidence/drainStreamUsageEvidence	backend sideband	Core runtime	bridge-v1; parent 3.2-3.4
token-runtime	internal/core/runtime/usage_quantities.go	usageEventQuantities	attemptRatingQuantities/usageEventQuantities	canonical usage event	Core runtime	bridge-v1; parent 3.2-3.4
token-runtime	internal/core/runtime/response_pipeline.go	resolveCustomerUsage	resolveCustomerUsage/resolveCustomerUsageForTerminal	customer output	Core runtime	bridge-v1; parent 3.2-3.4
token-runtime	internal/core/runtime/executor_settlement.go	authoritativeProviderUsageEvents	authoritativeProviderUsageEvents/tokenAccountingUsageEvents	settlement	Core runtime	bridge-v1; parent 3.2-3.4
token-runtime	internal/core/runtime/metering_checkpoint.go	appendMeteringFact	appendMeteringFact/persistFrontendIngressFact/persistBackendIngressFact	metering journal	Core runtime	bridge-v1; parent 3.1-4.2
provider-producer	internal/plugins/backends/openaiusage/usage.go	ChatUsageEvent	ChatUsageEvent/ResponsesUsageEvent	OpenAI/OpenResponses	Backend adapter	v2-certified; native E/Q/P, cache/reasoning/media direction, provider context and genuine provider cost map through openaiusage/provider_evidence.go; parent 8.2
provider-producer	internal/plugins/backends/openresponsescompat/response.go	usageEvent	usageEvent	OpenAI-compatible	Backend adapter	v2-certified; presence-aware host-only V2 drain preserves interrupted/missing-final usage and marks legacy zero-shape advanced fields unsupported; parent 8.2
provider-producer	internal/plugins/backends/protocols/anthropicmessages/map_events.go	usageFromMessageDelta	usageFromMessageDelta	Anthropic	Backend adapter	v2-certified; cache read/create/lifetime, output/reasoning/server-tool fields and stream revisions remain family-local with absent fields absent; parent 8.1
provider-producer	internal/plugins/backends/protocols/geminigenerate/map_events.go	usageEvent	usageEvent	Gemini	Backend adapter	v2-certified; modality direction/cache/reasoning/total/grounded-tool evidence uses versioned native units and never derives price-sheet usage; parent 8.3
provider-producer	internal/plugins/backends/bedrock/map_events.go	handleOutput	handleOutput	Bedrock	Backend adapter	v2-certified; provider-reported token presence and zero values plus surfaced cache TTL details drain through V2; advanced modality/storage fields remain unsupported because Converse does not surface them; parent 8.5
provider-producer	internal/plugins/backends/localstub/stream.go	canonicalEvents	canonicalEvents	localstub/reference	Backend adapter	lossless-v1-bridge; deterministic six-counter fixture only, with no native advanced provider fields to certify; parent 8.5
provider-producer	connectors/codex/internal/codex/attempt.go	DrainUsageEvidence	DrainUsageEvidence/accountingEvidence	Codex connector	Connector owner	bridge-v1; executable ABI carries request usage through the lossless six-counter bridge; account-window ABI attachment is unsupported advanced evidence until its legitimate native subject owner exists; parent 8.4
provider-producer	connectors/codex/internal/codex/stream.go	usageEvent	completedResponse.usageEvent	Codex connector	Connector owner	bridge-v1; response request counters remain separate from native gauges with exact presence, while response-associated gauges never become debits; typed V2 ABI attachment is unsupported advanced evidence without trusted StoreID binding; parent 8.4
