kind	id	summary	evidence	integrated_19_1
vector	V1	inclusive 1000/600/100/200 out200 -> 11.6	TestTCK_ActualNormalizerAndReducer; TestNormalize_InclusiveInputUsesExactDisjointPartition	FullEconomics(local separate partition via normalize)
vector	V2	anthropic 300/600/100 no double subtract	TestNormalize_SeparateInputDoesNotSubtractCaches; TestNormalize_CacheLifetimesAndReasoningStayDisjoint	FullEconomics(anthropic-separate mapping)
vector	V3	output 200 incl reasoning 50 billed once	TestNormalize_CacheLifetimesAndReasoningStayDisjoint; TestPhase9ReferenceRater_ReasoningOutputIsMeaningfulWhenUnpriced	-
vector	V4	quantity without money -> Q present P absent	TestPhase9ProviderReportedRatingDoesNotRequireLocalTariff	FullEconomics(Q rated; P aggregate separate)
vector	V5	aggregate 12 + partial lines no invented split	TestAssembleEconomicDetailAggregateOnly; TestPhase172Cluster3EvidenceDrivenSemantics	FullEconomics(1.32 aggregate); Resume(12 aggregate)
vector	V6	E=1 Q=1.1 P=1.32 -> 0.1/0.22/0.32	TestMonetaryDiscrepancyDecomposesAcceptanceVector	FullEconomics(live E/Q/P decomposition 24/2 -612/2 -588/2)
vector	V7	gauge 12.5->13.0 concurrent no debit	TestProjectAccountWindows_GaugesArePartialResetScopedAndOrderIndependent; TestCodexStream_PreservesConcurrentOutOfOrderWindowSnapshots	-
vector	V8	3+5+2 COGS=10 partial on missing	TestPhase5OperatorCOGSMissingAttemptIsPartialAndNeverStartedIsExcluded; TestRefinement83OperatorCOGSIncludesEveryPayableBLeg	FullEconomics(2.17 known); Resume(partial unknown)
vector	V9	replay noop conflict reorder	TestApplyObservations_DeduplicatesExactReplayBeforeGraphValidation; TestCallLegUsageReplayIdenticalIsNoopAndConflictIsIntegrityError; TestAccountingCutoverExactReplayIsIdempotent	FullEconomics(settlement replay)
vector	V10	posted 10 selected 8 -> -2 adjustment	TestPhase5OperatorCOGSAppliesChargeCorrectionOnce; TestCorrectionRecoveryCertifyCorrectedAggregateStatementProducesOneIdempotentDelta	-
vector	V11	shared resource 10 weights 0.6/0.4	TestPhase7ResourceAllocationAddsPayableCOGSWithoutInferenceLeg; TestAllocationConserve_ExactWeightsSharesAndDeterministicResidual	-
vector	V12	one submission three continuations one retry one fee	TestPhase9ReferenceRater_AllDeclaredFixedFeesApplyOnce; TestBindSubmissionIdentityKeepsOneToolLoopOnOneSubmission; TestSQLiteSubmissionFeeSettlementIsClaimedOnceConcurrently	FullEconomics(R 8.44 frozen provider basis + fee once); Resume(R 8.44 then 1.30)
vector	V13	0.125 credits 1.250 seconds exact	TestProviderDebit_RoundTripsAsRequestScopedObservation; TestPhase2V2_DecimalNormalizesAndConvertsCheckedNanos	Resume(credit fail-closed + 725/3)
vector	V14	never-started zero vs attempted missing unknown	TestRefinementNeverStartedEvidenceMayRemainKnownZero; TestRefinementAttemptedMissingProviderEvidenceIsNotReconciledZero_RED; TestOperatorCostSelectionAttemptedMissingStaysUnknown	Resume(excluded vs unknown)
vector	V15	USD/EUR no FX separate totals	TestPhase25_AggregateMoney_MixedCurrencyAndOverflow	-
vector	V16	crash between writes stale worker fenced	TestCutoverIntegratedCrashRestartNoDuplicates; TestF3RestartBetweenAdmitTerminalAndClaimPost	FullEconomics(file-backed durable lifecycle)
vector	V17	local tokenizer vs provider count API	TestPhase2V2_ObservationPreservesPresenceProvenanceAndDeepClone; TestReconcileLocalEstimateDoesNotOverwriteProviderAuthoritativeUsage	FullEconomics(tokenizer_required guard)
vector	V18	multi-source late resets	TestApplyObservations_DeltaCumulativeGaugeAndResourceSemantics; TestPhase11AccountWindowJournal_ResetEpochAndRestartRemainDistinct	-
vector	V19	4K resized 1024 provider-bound	TestRefinement81_InputTransformUsesProviderBoundRepresentation	MultimodalTransforms
vector	V20	12s audio -> 10s delivered	TestRefinement81_OutputTransformPreservesProviderOrigin	MultimodalTransforms(exact 12/10)
vector	V21	text+image+audio in image out disjoint	TestRefinement81_MultimodalDirectionRateCertification; TestRefinement81_DirectionIsCanonicalIdentity; TestNativeUsageMeasuresPreserveMultimodalDirectionAndUnits	MultimodalTransforms(210396/5)
vector	V22	DONE same A-leg resumes	TestRefinementContinuationAfterDoneUsesFreshCallState; TestRefinement82RuntimeResumeKeepsTerminalOwnership; TestRefinement51ResumableSessionLifecycleAndSettlement	Resume(sealed fingerprint stable)
vector	V23	failed retry + loser + winner	TestRefinement83DefaultRetailSelectsWinnerOnly; TestRefinement82RetryLoserExcludedFromRetailWinnerPostsCOGS	FullEconomics(winner-only R; all-leg COGS)
vector	SYNTH	synthetic non-token extensibility	TestPhase9ReferenceRater_AllNativeNonTokenDirectionsRemainDistinct; TestQuantity_Validate_UnknownComponentRequiresSchema	Resume(example.synthetic.widget rated)
vector	NEG	connector negotiation no silent drop	TestAdapter_TransportNegotiation_StreamingConnector; TestAdapter_TransportNegotiation_NonStreamingOnlyConnector; TestAdapter_PluginFrame_DuplicateAndLateFrames	-
req	1.1	local/modelled/provider/statement independent	TestPhase191LifecycleFullEconomicsCertification; TestPhase9ProviderReportedRatingDoesNotRequireLocalTariff	FullEconomics
req	1.2	provider-quantity local rating labeled Q	TestPhase9ProviderReportedRatingDoesNotRequireLocalTariff	FullEconomics(E/Q/P bases)
req	1.3	observation perspective/boundary/subject/source	TestPhase2V2_ObservationPreservesPresenceProvenanceAndDeepClone	FullEconomics(provenance asserts)
req	1.4	disagreement retained no overwrite	TestPhase191LifecycleFullEconomicsCertification; TestMonetaryDiscrepancyDecomposesAcceptanceVector	FullEconomics
req	1.5	unknown/unavailable/zero distinct	TestRefinementAttemptedMissingProviderEvidenceIsNotReconciledZero_RED; TestAccountingEvidenceToEventPreservesPresenceAndAuthoritativeZero	Resume(missing vs shell)
req	1.6	aggregate-only money preserved	TestAssembleEconomicDetailAggregateOnly	FullEconomics(1.32); Resume(12)
req	2.1	direction/unit/presence per component	TestNativeUsageMeasuresPreserveMultimodalDirectionAndUnits	MultimodalTransforms
req	2.2	no per-component columns no token coercion	TestPhase9ReferenceRater_AllNativeNonTokenDirectionsRemainDistinct	Resume(widget); MultimodalTransforms
req	2.3	bounded exact decimals	TestPhase2V2_DecimalNormalizesAndConvertsCheckedNanos	Resume(0.125/1.250)
req	2.4	direction identity never collides	TestRefinement81_DirectionIsCanonicalIdentity	MultimodalTransforms
req	2.5	money/credits/allowance distinct	TestProviderDebit_RoundTripsAsRequestScopedObservation	Resume(ErrRateMissing)
req	2.6	persist quantities rules pre-round rounding	TestRefinement81_ValuationDurability	FullEconomics(AppendValuation)
req	3.1	versioned family mapping preserves originals	TestNormalize_CacheLifetimesAndReasoningStayDisjoint	FullEconomics(anthropic mapping)
req	3.2	inclusive partition only when complete	TestTCK_ActualNormalizerAndReducer; TestNormalize_InclusiveInputUsesExactDisjointPartition	FullEconomics
req	3.3	separate exclusion no double subtract	TestNormalize_SeparateInputDoesNotSubtractCaches	FullEconomics
req	3.4	aggregate vs disjoint no overlapping additive	TestPhase172Cluster3EvidenceDrivenSemantics	FullEconomics
req	3.5	partial/incomparable not invented	TestPhase191LifecycleFullEconomicsCertification	FullEconomics(tokenizer_required)
req	3.6	mapping change versions correction	TestCorrectionRecoveryCertifyCorrectedAggregateStatementProducesOneIdempotentDelta	-
req	4.1	measure final provider-bound representation	TestRefinement81_InputTransformUsesProviderBoundRepresentation	MultimodalTransforms
req	4.2	measure provider output before customer transform	TestRefinement81_OutputTransformPreservesProviderOrigin	MultimodalTransforms(12 vs 10)
req	4.3	unobservable marked unavailable/estimated	TestReconcileLocalEstimateDoesNotOverwriteProviderAuthoritativeUsage	Resume(missing leg)
req	4.4	provider count API labeled provider-derived	TestPhase2V2_ObservationPreservesPresenceProvenanceAndDeepClone	FullEconomics(acquisition asserts)
req	4.5	chunk-invariant measurement	TestPhase19R4ChunkInvariantWholeVsAdversarialPartitions; TestPhase6BoundaryOutputIsChunkInvariantAndSeparatesCustomerEgress	-
req	4.6	fast-path fallback before commitment	TestPhase6LocalBoundaryRequiredCapabilityDeclinesFastPathBeforeAssessor	-
req	5.1	capture supported fields with direction qualifiers	TestNativeUsageMeasuresPreserveMultimodalDirectionAndUnits; TestNativeUsageMeasuresRejectMalformedNegativeAndFractionalDiscreteValues	FullEconomics; MultimodalTransforms
req	5.2	same charge never billed twice	TestAdapter_PluginFrame_DuplicateAndLateFrames; TestApplyObservations_DeduplicatesExactReplayBeforeGraphValidation	FullEconomics(replay)
req	5.3	quantity without money leaves P absent	TestPhase9ProviderReportedRatingDoesNotRequireLocalTariff	FullEconomics
req	5.4	negotiation rejects or declares reduced coverage	TestAdapter_TransportNegotiation_StreamingConnector; TestAdapter_TransportNegotiation_NonStreamingOnlyConnector	-
req	5.5	multiple charges inclusive vs auxiliary	TestPhase191LifecycleFullEconomicsCertification	FullEconomics(aux leg)
req	5.6	unknown fields bounded	TestNativeUsageMeasuresRejectMalformedNegativeAndFractionalDiscreteValues	MultimodalTransforms
req	6.1	A-leg/B-leg/submission/charge identities	TestRefinementContinuationAfterDoneUsesFreshCallState	Resume(fresh BillingCallID)
req	6.2	B-leg rooted all-leg COGS	TestPhase5OperatorCOGSMissingAttemptIsPartialAndNeverStartedIsExcluded; TestRefinement83OperatorCOGSIncludesEveryPayableBLeg	FullEconomics; Resume
req	6.3	known subtotal + completeness	TestPhase5OperatorCOGSMissingAttemptIsPartialAndNeverStartedIsExcluded	Resume(partial)
req	6.4	customer independent pass-through only explicit	TestRefinement83DefaultRetailSelectsWinnerOnly	FullEconomics(R 8.44 frozen provider basis)
req	6.5	explicit conserved allocation	TestPhase7ResourceAllocationAddsPayableCOGSWithoutInferenceLeg; TestAllocationConserve_ExactWeightsSharesAndDeterministicResidual	-
req	6.6	currency/payer separation	TestPhase25_AggregateMoney_MixedCurrencyAndOverflow	FullEconomics(payer stamping)
req	7.1	immutable policy/tariff binding replay	TestRefinement81_ValuationDurability	FullEconomics(RouteTariffs binding)
req	7.2	E/Q/P/R independent	TestPhase9ProviderReportedRatingDoesNotRequireLocalTariff	FullEconomics
req	7.3	rates fees blocks minimums tiers exact	TestPhase9ReferenceRater_AllDeclaredFixedFeesApplyOnce	FullEconomics(fee once)
req	7.4	effective qualifier frozen rule	TestRefinement81_MultimodalDirectionRateCertification	MultimodalTransforms
req	7.5	incomplete not free not default	TestPhase191LifecycleResumeMissingAggregateCreditsSubmission	Resume(ErrRateMissing)
req	7.6	existing source + injected raters	TestBuildWithBillingBuildsReadyHostOnSharedPath; TestRefinement4StockObservationToEconomicSettlement	-
req	8.1	B-leg selected retail no silent retry billing	TestRefinement83DefaultRetailSelectsWinnerOnly; TestRefinement82RetryLoserExcludedFromRetailWinnerPostsCOGS; TestPhase19R1RetailSourceCompetingOutputDoesNotDouble; TestPhase19R1RetailSourceFrozenProviderBasisWithFeeProxyOrderReplay; TestPhase19R1RetailSourceDistinctBLegsStayAdditive; TestPhase19R1RetailSourceLocalFallbackWhenProviderIncomplete	FullEconomics(R 8.44 frozen provider basis); Resume
req	8.2	separate media input/output rates	TestRefinement81_MultimodalDirectionRateCertification	MultimodalTransforms
req	8.3	trusted submission counted once	TestBindSubmissionIdentityKeepsOneToolLoopOnOneSubmission; TestSQLiteSubmissionFeeSettlementIsClaimedOnceConcurrently	FullEconomics; Resume
req	8.4	no last-role heuristic	TestStampBillingCallIDRejectsSubmissionIdentityChangeOnSameCall; TestDecisionCarriesTrustedSubmissionAuthority	Resume(submission-b fee)
req	8.5	credit/allowance independent	TestCheapCreditScreenAllowsConfiguredHeadroom; TestCustomerUnitOperationReplayAndConflictUseStablePayloadIdentity	Resume(credits)
req	8.6	independent settlement under supplier lag	TestEconomicJobQueueSQLiteBacklogAgeAndCounts	Resume(call2 settles)
req	9.1	window identity/pool/reset retained	TestProjectAccountWindows_GaugesArePartialResetScopedAndOrderIndependent; TestCodexStream_PreservesConcurrentOutOfOrderWindowSnapshots	-
req	9.2	no gauge summation	TestQuotaPolicy_BindingResetAndAsOfHeadNeverSumGaugeSnapshots	-
req	9.3	no exact debit from snapshot diff	TestCodexStream_PreservesConcurrentOutOfOrderWindowSnapshots	-
req	9.4	genuine request debit additive	TestProviderDebit_RoundTripsAsRequestScopedObservation	Resume(credit measure)
req	9.5	local amortization labeled	TestPhase7ResourceAllocationAddsPayableCOGSWithoutInferenceLeg	-
req	9.6	telemetry not a ledger	TestQuotaPolicy_BindingResetAndAsOfHeadNeverSumGaugeSnapshots	-
req	10.1	idempotent replay conflict on change	TestApplyObservations_DeduplicatesExactReplayBeforeGraphValidation; TestCallLegUsageReplayIdenticalIsNoopAndConflictIsIntegrityError; TestAccountingCutoverExactReplayIsIdempotent	FullEconomics
req	10.2	delta/cumulative presence scope	TestApplyObservations_DeltaCumulativeGaugeAndResourceSemantics	FullEconomics(cumulative)
req	10.3	corrections append reference prior	TestCorrectionRecoveryCertifyCorrectedAggregateStatementProducesOneIdempotentDelta; TestRefinement4StockObservationToEconomicSettlement	-
req	10.4	terminal seals B-leg/call only fresh IDs on resume	TestRefinementContinuationAfterDoneUsesFreshCallState; TestRefinement82RuntimeResumeKeepsTerminalOwnership	Resume
req	10.5	persistence failure degraded no retry after output	TestCutoverIntegratedCrashRestartNoDuplicates	-
req	10.6	restart rebuilds same state	TestF3RestartBetweenAdmitTerminalAndClaimPost; TestCutoverIntegratedCrashRestartNoDuplicates	FullEconomics(restart-safe files)
req	11.1	component quantities per scope	TestRefinement81_ValuationDurability	FullEconomics(legs+valuations)
req	11.2	canonical + consistent projections	TestRefinement81_ValuationDurability	FullEconomics(journal round-trip)
req	11.3	new component no migration	TestQuantity_Validate_UnknownComponentRequiresSchema	Resume(widget)
req	11.4	isolation uniqueness pagination	TestCallLegUsageReplayIdenticalIsNoopAndConflictIsIntegrityError; TestQueryEconomicDetailPagination; TestQueryStatementLinesPaginationAndIsolation	FullEconomics
req	11.5	rebuild reproduces drift detected	TestPhase4ValuationRebuildAndBoundedPagination; TestObservationOutboxJSONB_CorruptStoredRowsFailClosed	-
req	11.6	old aggregates preserved marked	TestAccountingEvidenceV2FromV1_IsExplicitlyPartialAndLosslessForTokens	Resume(aggregate)
req	12.1	signed/absolute deltas by key	TestPhase191LifecycleFullEconomicsCertification	FullEconomics(audio +2)
req	12.2	quantity effect vs price residual	TestMonetaryDiscrepancyDecomposesAcceptanceVector	FullEconomics
req	12.3	incomparable without mapping	TestPhase191LifecycleFullEconomicsCertification	FullEconomics(tokenizer_required)
req	12.4	versioned tolerances zero denominator	TestPhase19R4VersionedToleranceCertification; TestReconciliationToleranceExactFormula; TestReconciliationToleranceZeroDenominator; TestReconciliationToleranceNoMatchingRuleAndUnitMismatch; TestReconciliationTolerancePolicyValidation	FullEconomics(deltas retained)
req	12.5	bounded operational signals	TestEconomicHealthSnapshotBacklogAgeExcludesTerminalHistory; TestEconomicJobQueueSQLiteBacklogAgeAndCounts	FullEconomics(AppendReconciliation)
req	12.6	selection retains all evidence	TestPhase191LifecycleFullEconomicsCertification	FullEconomics(E/Q/P retained)
req	13.1	generic import preserves identity	TestOperatorReportsStatementEvidenceEndToEnd	Resume(aggregate shape)
req	13.2	unmatched stays unmatched	TestOperatorReportsStatementEvidenceEndToEnd	-
req	13.3	idempotent balanced adjustment same currency	TestPhase5OperatorCOGSAppliesChargeCorrectionOnce; TestCorrectionRecoveryCertifyCorrectedAggregateStatementProducesOneIdempotentDelta	-
req	13.4	no auto customer rebill	TestRefinement4StockObservationToEconomicSettlement	Resume(call1 stable)
req	13.5	completeness/reconciliation/posting distinct	TestAssembleEconomicDetailAggregateOnly	FullEconomics(explanation)
req	13.6	generic contracts no vendor parsers	TestOperatorReportsStatementEvidenceEndToEnd	-
