module	manifest	exports	media_relevant	media_surface	capability_or_fixture_evidence	economic_disposition	bounded_reason	verification
acp	connectors/acp/manifest/template.backendplugin.json	acp	yes	Canonical image/file refs become ACP resource prompt blocks	connectors/acp/internal/service/service.go; connector-support/acp/invoke.go; connector-support/acp/invoke_test.go::TestPromptBlocksForCall_textAndResource; connectors/acp/parity_suite_test.go::TestParity_ConformanceAdvertised_WithTestEmu	unsupported advanced evidence	Resource refs are mappable, but this executable path has no provider usage/native media units or trusted StoreID/B-leg subject; no complete media economics claim.	module test/vet and ACP parity
agycliacp	connectors/agycliacp/manifest/template.backendplugin.json	agycliacp	yes	Canonical image/file refs use the shared ACP resource mapping	connectors/agycliacp/internal/service/service.go; connector-support/acp/invoke.go; connectors/agycliacp/parity_suite_test.go::TestParity_ConformanceAndScriptedStream	unsupported advanced evidence	Vision is negotiated for the ACP prompt surface, but no provider-native media usage or executable V2 identity is transported; only bounded unsupported advanced coverage.	module test/vet and CLI ACP parity
azure	connectors/azure/manifest/template.backendplugin.json	azure-openai	no	No connector-local media mapper or media capability; OpenAI-compatible path is text-only	connectors/azure/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static and resolved capabilities do not claim media; the shared adapter rejects canonical image/file parts before network execution.	module test/vet and hosted parity controls
cloudflare	connectors/cloudflare/manifest/template.backendplugin.json	cloudflare	no	No connector-local media mapper or media capability	connectors/cloudflare/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Model-name filtering strings mentioning media are not a media wire capability; static/resolved profiles remain streaming-only and shared mapping rejects media.	module test/vet and parity controls
codex	connectors/codex/manifest/template.backendplugin.json	openai-codex,openai-codex-app-server	yes	Responses input_image/input_file mapping and image-aware local counting	connectors/codex/internal/service/service.go; connectors/codex/internal/codex/payload_input.go::canonicalContentBlocks; connectors/codex/internal/localtok/tiktoken/counter.go; connectors/codex/parity_suite_test.go::TestParity_ConformanceHTTP	lossless-v1-bridge	Executable ABI forwards the six legacy counters; native media units, trusted StoreID/B-leg identity and advanced revisions remain unavailable, and local estimates are never provider billing.	module test/vet/conformance; Codex ABI/parity checks
cohere	connectors/cohere/manifest/template.backendplugin.json	cohere	yes	Canonical non-text parts are explicitly rejected before provider execution	connectors/cohere/internal/service/client.go; connectors/cohere/internal/service/tools.go; connectors/cohere/parity_suite_test.go	unsupported advanced evidence	The connector states that vision/non-text is unsupported and exposes no media capability or native media economic producer; rejection is the bounded disposition.	module test/vet and parity
commandcode-anthropic	connectors/commandcode-anthropic/manifest/template.backendplugin.json	commandcode-anthropic	yes	Anthropic image block mapping; document/file mapping is not exposed	connectors/commandcode-anthropic/internal/anthropic/request.go::mapContentBlocks; connectors/commandcode-anthropic/internal/service/service.go; connectors/commandcode-anthropic/parity_suite_test.go	lossless-v1-bridge	Connector-local Anthropic usage is bridged through six presence-aware counters; native media units, document mapping and trusted V2 identity/revisions are unsupported and never inferred.	module test/vet/conformance; Anthropic connector evidence
commandcode-openai	connectors/commandcode-openai/manifest/template.backendplugin.json	commandcode-openai	no	No connector-local media mapper or media capability	connectors/commandcode-openai/internal/service/service.go; connector-support/openaicompat/request.go::unsupportedPartError	not-media-capable	Static/resolved profiles are streaming-only and the shared canonical adapter rejects image/file parts; no media claim is made.	module test/vet and parity controls
cursorcliacp	connectors/cursorcliacp/manifest/template.backendplugin.json	cursorcliacp	yes	Canonical image/file refs use shared ACP resource prompt blocks	connectors/cursorcliacp/internal/service/service.go; connector-support/acp/invoke.go; connectors/cursorcliacp/parity_suite_test.go::TestParity_ConformanceAndScriptedStream	unsupported advanced evidence	The CLI ACP profile negotiates vision input, but executable provider usage/native media units and trusted V2 identity are absent; resource refs do not create economics.	module test/vet and CLI ACP parity
cursorsdk	connectors/cursorsdk/manifest/template.backendplugin.json	cursorsdk	yes	Product prompt path explicitly rejects canonical image/file parts; capability inventory is mapping-proven	connectors/cursorsdk/internal/product/prompt.go; connectors/cursorsdk/internal/product/prompt_test.go; connectors/cursorsdk/internal/product/inventory_test.go::TestInventory_CapsProvenMappingsOnly	lossless-v1-bridge	Provider token evidence uses the negotiated six-counter bridge; media input is unsupported by the product mapping and account/request/native gauge identity cannot be upgraded to V2.	module test/vet and product/parity checks
