id	lifecycle_or_race	requirements	tests	command_scope	result	evidence
L1	Same-identity duplicate settlement/provider/economic replays are no-ops	10.1	TestPhase192RestartLifecycleRaceExactlyOnce; TestCallLegUsageReplayIdenticalIsNoopAndConflictIsIntegrityError; TestAccountingCutoverExactReplayIsIdempotent	go test ./internal/infra/billingstore/	PASS	phase19-2-database-restart-lifecycle-races.md S2
L2	Same identity with different payload reports identity conflict	10.1	TestCallLegUsageReplayIdenticalIsNoopAndConflictIsIntegrityError; TestPostJournalTransactionConcurrentSameSourceKeyIsIdempotent	go test -tags=precommit,integration ./internal/infra/billingstore/	PASS	section 6
L3	Late correction appends revision without mutating sealed facts	10.3	TestRefinement82PreterminalTerminalCorrectionAdvancesWithoutDuplicates; TestPhase192RestartLifecycleRaceExactlyOnce (late correction + replay)	go test ./internal/infra/billingstore/	PASS	RED3-5 GREEN
L4	Late provider evidence after closure does not rebill customer	10.3	TestCorrectionRecoverySQLiteLateProviderCorrectionAfterClosureDoesNotRebillCustomer; TestQueryEconomicDetailContinuationInvalidatesOnLateCorrections	go test ./internal/infra/billingstore/	PASS	section 6
L5	Terminal/DONE seals only that execution checkpoint exactly once	10.4	TestF3RestartBetweenAdmitTerminalAndClaimPost; TestPhase192RestartLifecycleRaceExactlyOnce; TestBillingLegHandoffIsTerminalOnlyAndIdempotent	go test ./internal/infra/billingstore/ ./internal/core/runtime/...	PASS	section 2
L6	Same-A-leg resume allocates fresh BillingCallID and never reopens prior records	10.4	TestExecuteResumeSameALegAllocatesDistinctBillingCallIDs; TestRefinementContinuationAfterDoneUsesFreshCallState; TestRefinement82RuntimeResumeKeepsTerminalOwnership; TestRefinement43CustomerRetailSettlesEachResumedBillingCallIndependently; TestPhase192RepeatedTerminalDoneSameALegResume	go test ./internal/core/runtime/... ./internal/infra/billingstore/ ./internal/infra/runtimebundle/	PASS	section 2
L7	Cancellation leaves zero financial effects and no retry	10.5; 14.3	TestPhase192RestartLifecycleRaceExactlyOnce (canceled settlement); TestPhase172ShadowV2CanceledContextFailsClosed; TestF1GreenContextCancellationWhileWaiting	go test ./internal/infra/billingstore/	PASS	RED5 GREEN
L8	Persistence failure preserves recoverable intent and drains once	10.5	TestRecovery174ForwardRecoveryDrainsExactlyOnceAcrossRestart; TestRefinement43ProviderCostRevisionRollsBackAfterCrashAndRetries; TestF1GreenCrashReopenPreservesActivation	go test ./internal/infra/billingstore/	PASS	section 6
L9	Restart rebuilds identical observations/valuations/posting state	10.6	TestPhase192RestartLifecycleRaceExactlyOnce (snapshot equality); TestRefinement82RestartContinuesIdentitiesWithoutLossOrDuplicates; TestPhase11AllocationPersistsAcrossRestart; TestCutoverIntegratedCrashRestartNoDuplicates; TestAccountingCutoverRestartSafe	go test ./internal/infra/billingstore/	PASS	section 2
L10	Worker restart replay does not re-rate or duplicate	10.6; 13.3	TestRefinement42RevisionWorkerRestartReplayDoesNotRerate; TestRefinement43EconomicWorkerRestartFencesProviderPostingAfterCrash	go test ./internal/infra/billingstore/	PASS	section 6
