census_line	path	symbol	final	evidence
1	pkg/lipsdk/metering/quantity.go	Quantity	safe-projection	pkg/lipsdk/metering/quantity.go V1 integer Quantity retained as one-way nonfinancial projection; V2 exact Decimal in pkg/lipsdk/metering/decimal.go owns financial math
2	pkg/lipsdk/metering/fact.go	Fact	safe-projection	pkg/lipsdk/metering/fact.go V1 Fact retained as historical reader plus nonfinancial authority projection; V2 Observation in pkg/lipsdk/metering/observation.go owns live financial evidence
3	pkg/lipsdk/metering/recorder.go	Recorder	safe-projection	pkg/lipsdk/metering/recorder.go V1 Recorder retained as nonfinancial append port; live financial capture uses ObservationSink in pkg/lipsdk/metering/observation.go
4	internal/core/metering/checkpoint/fact.go	FactFromIngress	safe-projection	internal/core/metering/checkpoint/fact.go V1 ingress projection retained one-way; V2 source-separated evidence attached at same hook per C1
5	internal/core/metering/checkpoint/fact.go	FactFromEgress	safe-projection	internal/core/metering/checkpoint/fact.go V1 egress projection retained one-way; V2 representation identity attached per C1
6	internal/core/metering/plane/plane.go	QuantitiesFromUsageEvent	safe-projection	internal/core/metering/plane/plane.go V1 usage-event quantities retained as nonfinancial projection; V2 component keys own financial reduction
7	internal/core/metering/aggregate/aggregate.go	Apply	safe-projection	internal/core/metering/aggregate/aggregate.go Apply retained as V1 scalar query projection over []metering.Fact to scalar Snapshot map[string]int64; native V2 reduction owner is ApplyObservations in internal/core/metering/aggregate/observations.go with source/subject/charge Scope; no live financial consumer calls Apply (only reconcile.Stream in internal/core/metering/reconcile/reconcile.go plus journal query tests); financial rating uses ApplyObservations per internal/core/billing/component_rater.go; behavior per internal/core/metering/aggregate/aggregate_test.go internal/core/metering/aggregate/observation_red_test.go
8	internal/core/metering/reconcile/reconcile.go	Stream	safe-projection	internal/core/metering/reconcile/reconcile.go Stream retained as V1 fact reconciliation loading metering.Querier facts via aggregate.Apply; native V2 economic reconciliation owner is CompareComponentQuantities in internal/core/billing/reconciliation_compare.go; Stream has no production financial caller (test-only per internal/core/metering/reconcile/reconcile_test.go); behavior per internal/core/billing/reconciliation_compare_test.go internal/core/metering/reconcile/reconcile_test.go
9	internal/core/runtime/attempt_accounting.go	observeUsage	safe-projection	internal/core/runtime/attempt_accounting.go observeUsage retained as nonfinancial token accounting/quota projection; never a monetary writer
10	internal/core/runtime/attempt_usage_evidence.go	recordUsageEvidence	safe-projection	internal/core/runtime/attempt_usage_evidence.go rememberUsageEvidenceOnce/recordUsageEvidence retained as V1 draining input boundary; V2 observations drain independently via billingEvidenceDrain
11	internal/core/runtime/usage_quantities.go	usageEventQuantities	safe-projection	internal/core/runtime/usage_quantities.go usageEventQuantities retained as nonfinancial quota projection for usage-authority checks; financial rating uses V2 observations
12	internal/core/runtime/response_pipeline.go	resolveCustomerUsage	safe-projection	internal/core/runtime/response_pipeline.go resolveCustomerUsage retained as customer-output reconstruction projection; retail money uses frozen B-leg policy per C3
13	internal/core/runtime/executor_settlement.go	authoritativeProviderUsageEvents	safe-projection	internal/core/runtime/executor_settlement.go authoritativeProviderUsageEvents retained as settlement scoping projection; COGS attribution uses all-leg V2 plus V1 authoritative money per C4
14	internal/core/runtime/metering_checkpoint.go	appendMeteringFact	safe-projection	internal/core/runtime/metering_checkpoint.go appendMeteringFact retained as V1 journal projection; durable V2 envelopes use journalstore Append per D5
15	internal/plugins/backends/openaiusage/usage.go	ChatUsageEvent	native-v2	internal/plugins/backends/openaiusage/usage.go plus provider_evidence.go maps native E/Q/P cache/reasoning/media direction with provider context; parent 8.2
16	internal/plugins/backends/openresponsescompat/response.go	usageEvent	native-v2	internal/plugins/backends/openresponsescompat/response.go presence-aware host-only V2 drain preserves interrupted/missing-final usage; parent 8.2
17	internal/plugins/backends/protocols/anthropicmessages/map_events.go	usageFromMessageDelta	native-v2	internal/plugins/backends/protocols/anthropicmessages/map_events.go cache read/create/lifetime output/reasoning/server-tool V2 with absent-absent; parent 8.1
18	internal/plugins/backends/protocols/geminigenerate/map_events.go	usageEvent	native-v2	internal/plugins/backends/protocols/geminigenerate/map_events.go modality direction/cache/reasoning/total/grounded-tool V2 versioned native units; parent 8.3
19	internal/plugins/backends/bedrock/map_events.go	handleOutput	native-v2	internal/plugins/backends/bedrock/map_events.go provider-reported token presence/zero plus cache TTL drain through V2; advanced modality/storage unsupported without Converse fields; parent 8.5
20	internal/plugins/backends/localstub/stream.go	canonicalEvents	safe-projection	internal/plugins/backends/localstub/stream.go deterministic six-counter fixture only via lossless V1 bridge; no native advanced fields; parent 8.5
21	connectors/codex/internal/codex/attempt.go	DrainUsageEvidence	safe-projection	connectors/codex/internal/codex/attempt.go six-counter bridge live; account-window ABI attachment unsupported advanced until native subject owner exists; parent 8.4
22	connectors/codex/internal/codex/stream.go	usageEvent	safe-projection	connectors/codex/internal/codex/stream.go request counters separate from gauges with exact presence; gauges never debits; typed V2 ABI unsupported without StoreID; parent 8.4
23	connectors/codex/internal/codex/usage_estimator.go	estimateUsage	safe-projection	connectors/codex/internal/codex/usage_estimator.go local estimate explicitly estimated never provider-reported nor debit; parent 8.5
